passage_id,author,source_group,text
P011,Madison,S04,"To these would be opposed a militia amounting to near half a million of citizens with arms in their hands, officered by men chosen from among themselves, fighting for their common liberties, and united and conducted by governments possessing their affections and confidence. It may well be doubted, whether a militia thus circumstanced could ever be conquered by such a proportion of regular troops. Those who are best acquainted with the last successful resistance of this country against the British arms, will be most inclined to deny the possibility of it. Besides the advantage of being armed, which the Americans possess over the people of almost every other nation, the existence of subordinate governments, to which the people are attached, and by which the militia officers are appointed, forms a barrier against the enterprises of ambition, more insurmountable than any which a simple government of any form can admit of. Notwithstanding the military establishments in the several kingdoms of Europe, which are carried as far as the public resources will bear, the governments are afraid to trust the people with arms."
P012,Madison,S13,"The second class of powers, lodged in the general government, consists of those which regulate the intercourse with foreign nations, to wit: to make treaties; to send and receive ambassadors, other public ministers, and consuls; to define and punish piracies and felonies committed on the high seas, and offenses against the law of nations; to regulate foreign commerce, including a power to prohibit, after the year 1808, the importation of slaves, and to lay an intermediate duty of ten dollars per head, as a discouragement to such importations. This class of powers forms an obvious and essential branch of the federal administration. If we are to be one nation in any respect, it clearly ought to be in respect to other nations. The powers to make treaties and to send and receive ambassadors, speak their own propriety. Both of them are comprised in the articles of Confederation, with this difference only, that the former is disembarrassed, by the plan of the convention, of an exception, under which treaties might be substantially frustrated by regulations of the States; and that a power of appointing and receiving other public ministers and consuls is expressly and very properly added to the former provision concerning ambassadors."
P013,Madison,S19,"A dangerous establishment can never be necessary or plausible, so long as they continue a united people. But let it never, for a moment, be forgotten that they are indebted for this advantage to the Union alone. The moment of its dissolution will be the date of a new order of things. The fears of the weaker, or the ambition of the stronger States, or Confederacies, will set the same example in the New, as Charles VII did in the Old World. The example will be followed here from the same motives which produced universal imitation there. Instead of deriving from our situation the precious advantage which Great Britain has derived from hers, the face of America will be but a copy of that of the continent of Europe. It will present liberty everywhere crushed between standing armies and perpetual taxes. The fortunes of disunited America will be even more disastrous than those of Europe. The sources of evil in the latter are confined to her own limits."
P014,Madison,S13,"The power is there restrained to Indians, not members of any of the States, and is not to violate or infringe the legislative right of any State within its own limits. What description of Indians are to be deemed members of a State, is not yet settled, and has been a question of frequent perplexity and contention in the federal councils. And how the trade with Indians, though not members of a State, yet residing within its legislative jurisdiction, can be regulated by an external authority, without so far intruding on the internal rights of legislation, is absolutely incomprehensible. This is not the only case in which the articles of Confederation have inconsiderately endeavored to accomplish impossibilities; to reconcile a partial sovereignty in the Union, with complete sovereignty in the States; to subvert a mathematical axiom, by taking away a part, and letting the whole remain. All that need be remarked on the power to coin money, regulate the value thereof, and of foreign coin, is, that by providing for this last case, the Constitution has supplied a material omission in the articles of Confederation."
P015,Madison,S14,"It is not a little remarkable that in every case reported by ancient history, in which government has been established with deliberation and consent, the task of framing it has not been committed to an assembly of men, but has been performed by some individual citizen of preeminent wisdom and approved integrity. Minos, we learn, was the primitive founder of the government of Crete, as Zaleucus was of that of the Locrians. Theseus first, and after him Draco and Solon, instituted the government of Athens. Lycurgus was the lawgiver of Sparta. The foundation of the original government of Rome was laid by Romulus, and the work completed by two of his elective successors, Numa and Tullius Hostilius. On the abolition of royalty the consular administration was substituted by Brutus, who stepped forward with a project for such a reform, which, he alleged, had been prepared by Tullius Hostilius, and to which his address obtained the assent and ratification of the senate and people. This remark is applicable to confederate governments also."
P017,Hamilton,S17,"It merits particular attention in this place, that the laws of the Confederacy, as to the enumerated and legitimate objects of its jurisdiction, will become the supreme law of the land; to the observance of which all officers, legislative, executive, and judicial, in each State, will be bound by the sanctity of an oath. Thus the legislatures, courts, and magistrates, of the respective members, will be incorporated into the operations of the national government as far as its just and constitutional authority extends; and will be rendered auxiliary to the enforcement of its laws. Any man who will pursue, by his own reflections, the consequences of this situation, will perceive that there is good ground to calculate upon a regular and peaceable execution of the laws of the Union, if its powers are administered with a common share of prudence. If we will arbitrarily suppose the contrary, we may deduce any inferences we please from the supposition; for it is certainly possible, by an injudicious exercise of the authorities of the best government that ever was, or ever can be instituted, to provoke and precipitate the people into the wildest excesses."
P020,Madison,S08,"It is needless, therefore, to remark further on this head, than that the manner in which the restraint is qualified seems well calculated at once to secure to the States a reasonable discretion in providing for the conveniency of their imports and exports, and to the United States a reasonable check against the abuse of this discretion. The remaining particulars of this clause fall within reasonings which are either so obvious, or have been so fully developed, that they may be passed over without remark. The sixth and last class consists of the several powers and provisions by which efficacy is given to all the rest. Of these the first is, the power to make all laws which shall be necessary and proper for carrying into execution the foregoing powers, and all other powers vested by this Constitution in the government of the United States, or in any department or officer thereof. Few parts of the Constitution have been assailed with more intemperance than this; yet on a fair investigation of it, no part can appear more completely invulnerable."
P021,Madison,S04,"It was, nevertheless, invariably found, after the transient enthusiasm for the early Congresses was over, that the attention and attachment of the people were turned anew to their own particular governments; that the federal council was at no time the idol of popular favor; and that opposition to proposed enlargements of its powers and importance was the side usually taken by the men who wished to build their political consequence on the prepossessions of their fellow-citizens. If, therefore, as has been elsewhere remarked, the people should in future become more partial to the federal than to the State governments, the change can only result from such manifest and irresistible proofs of a better administration, as will overcome all their antecedent propensities. And in that case, the people ought not surely to be precluded from giving most of their confidence where they may discover it to be most due; but even in that case the State governments could have little to apprehend, because it is only within a certain sphere that the federal power can, in the nature of things, be advantageously administered."
P022,Hamilton,S17,"Various reasons have been suggested, in the course of these papers, to induce a probability that the general government will be better administered than the particular governments; the principal of which reasons are that the extension of the spheres of election will present a greater option, or latitude of choice, to the people; that through the medium of the State legislatures which are select bodies of men, and which are to appoint the members of the national Senate there is reason to expect that this branch will generally be composed with peculiar care and judgment; that these circumstances promise greater knowledge and more extensive information in the national councils, and that they will be less apt to be tainted by the spirit of faction, and more out of the reach of those occasional ill-humors, or temporary prejudices and propensities, which, in smaller societies, frequently contaminate the public councils, beget injustice and oppression of a part of the community, and engender schemes which, though they gratify a momentary inclination or desire, terminate in general distress, dissatisfaction, and disgust."
P023,Madison,S08,"In the next place, as the constitutions of some of the States do not even expressly and fully recognize the existing powers of the Confederacy, an express saving of the supremacy of the former would, in such States, have brought into question every power contained in the proposed Constitution. In the third place, as the constitutions of the States differ much from each other, it might happen that a treaty or national law, of great and equal importance to the States, would interfere with some and not with other constitutions, and would consequently be valid in some of the States, at the same time that it would have no effect in others. In fine, the world would have seen, for the first time, a system of government founded on an inversion of the fundamental principles of all government; it would have seen the authority of the whole society every where subordinate to the authority of the parts; it would have seen a monster, in which the head was under the direction of the members."
P024,Hamilton,S11,"Every view we may take of the subject, as candid inquirers after truth, will serve to convince us, that it is both unwise and dangerous to deny the federal government an unconfined authority, as to all those objects which are intrusted to its management. It will indeed deserve the most vigilant and careful attention of the people, to see that it be modeled in such a manner as to admit of its being safely vested with the requisite powers. If any plan which has been, or may be, offered to our consideration, should not, upon a dispassionate inspection, be found to answer this description, it ought to be rejected. A government, the constitution of which renders it unfit to be trusted with all the powers which a free people ought to delegate to any government, would be an unsafe and improper depositary of the national interests. Wherever these can with propriety be confided, the coincident powers may safely accompany them. This is the true result of all just reasoning upon the subject."
P025,Hamilton,S20,"How is it possible that a government half supplied and always necessitous, can fulfill the purposes of its institution, can provide for the security, advance the prosperity, or support the reputation of the commonwealth? How can it ever possess either energy or stability, dignity or credit, confidence at home or respectability abroad? How can its administration be any thing else than a succession of expedients temporizing, impotent, disgraceful? How will it be able to avoid a frequent sacrifice of its engagements to immediate necessity? How can it undertake or execute any liberal or enlarged plans of public good? Let us attend to what would be the effects of this situation in the very first war in which we should happen to be engaged. We will presume, for argument's sake, that the revenue arising from the impost duties answers the purposes of a provision for the public debt and of a peace establishment for the Union. Thus circumstanced, a war breaks out. What would be the probable conduct of the government in such an emergency?"
P026,Hamilton,S11,"Defective as the present Confederation has been proved to be, this principle appears to have been fully recognized by the framers of it; though they have not made proper or adequate provision for its exercise. Congress have an unlimited discretion to make requisitions of men and money; to govern the army and navy; to direct their operations. As their requisitions are made constitutionally binding upon the States, who are in fact under the most solemn obligations to furnish the supplies required of them, the intention evidently was that the United States should command whatever resources were by them judged requisite to the common defense and general welfare. It was presumed that a sense of their true interests, and a regard to the dictates of good faith, would be found sufficient pledges for the punctual performance of the duty of the members to the federal head. The experiment has, however, demonstrated that this expectation was ill-founded and illusory; and the observations, made under the last head, will, I imagine, have sufficed to convince the impartial and discerning, that there is an absolute necessity for an entire change in the first principles of the system."
P027,Hamilton,S18,"The principle of regulating the contributions of the States to the common treasury by quotas is another fundamental error in the Confederation. Its repugnancy to an adequate supply of the national exigencies has been already pointed out, and has sufficiently appeared from the trial which has been made of it. I speak of it now solely with a view to equality among the States. Those who have been accustomed to contemplate the circumstances which produce and constitute national wealth, must be satisfied that there is no common standard or barometer by which the degrees of it can be ascertained. Neither the value of lands, nor the numbers of the people, which have been successively proposed as the rule of State contributions, has any pretension to being a just representative. If we compare the wealth of the United Netherlands with that of Russia or Germany, or even of France, and if we at the same time compare the total value of the lands and the aggregate population of that contracted district with the total value of the lands and the aggregate population of the immense regions of either of the three last-mentioned countries, we shall at once discover that there is no comparison between the proportion of either of these two objects and that of the relative wealth of those nations."
P028,Madison,S13,"I shall confine myself to a cursory review of the remaining powers comprehended under this third description, to wit: to regulate commerce among the several States and the Indian tribes; to coin money, regulate the value thereof, and of foreign coin; to provide for the punishment of counterfeiting the current coin and securities of the United States; to fix the standard of weights and measures; to establish a uniform rule of naturalization, and uniform laws of bankruptcy, to prescribe the manner in which the public acts, records, and judicial proceedings of each State shall be proved, and the effect they shall have in other States; and to establish post offices and post roads. The defect of power in the existing Confederacy to regulate the commerce between its several members, is in the number of those which have been clearly pointed out by experience. To the proofs and remarks which former papers have brought into view on this subject, it may be added that without this supplemental provision, the great and essential power of regulating foreign commerce would have been incomplete and ineffectual."
P029,Madison,S14,"As it can give no umbrage to the writers against the plan of the federal Constitution, let us suppose, that as they are the most zealous, so they are also the most sagacious, of those who think the late convention were unequal to the task assigned them, and that a wiser and better plan might and ought to be substituted. Let us further suppose that their country should concur, both in this favorable opinion of their merits, and in their unfavorable opinion of the convention; and should accordingly proceed to form them into a second convention, with full powers, and for the express purpose of revising and remoulding the work of the first. Were the experiment to be seriously made, though it required some effort to view it seriously even in fiction, I leave it to be decided by the sample of opinions just exhibited, whether, with all their enmity to their predecessors, they would, in any one point, depart so widely from their example, as in the discord and ferment that would mark their own deliberations; and whether the Constitution, now before the public, would not stand as fair a chance for immortality, as Lycurgus gave to that of Sparta."
P030,Hamilton,S09,"If standing armies are dangerous to liberty, an efficacious power over the militia, in the body to whose care the protection of the State is committed, ought, as far as possible, to take away the inducement and the pretext to such unfriendly institutions. If the federal government can command the aid of the militia in those emergencies which call for the military arm in support of the civil magistrate, it can the better dispense with the employment of a different kind of force. If it cannot avail itself of the former, it will be obliged to recur to the latter. To render an army unnecessary, will be a more certain method of preventing its existence than a thousand prohibitions upon paper. In order to cast an odium upon the power of calling forth the militia to execute the laws of the Union, it has been remarked that there is nowhere any provision in the proposed Constitution for calling out the posse comitatus, to assist the magistrate in the execution of his duty, whence it has been inferred, that military force was intended to be his only auxiliary."
P031,Hamilton,S16,"All violent policy, as it is contrary to the natural and experienced course of human affairs, defeats itself. Pennsylvania, at this instant, affords an example of the truth of this remark. The Bill of Rights of that State declares that standing armies are dangerous to liberty, and ought not to be kept up in time of peace. Pennsylvania, nevertheless, in a time of profound peace, from the existence of partial disorders in one or two of her counties, has resolved to raise a body of troops; and in all probability will keep them up as long as there is any appearance of danger to the public peace. The conduct of Massachusetts affords a lesson on the same subject, though on different ground. That State, without waiting for the sanction of Congress, as the articles of the Confederation require, was compelled to raise troops to quell a domestic insurrection, and still keeps a corps in pay to prevent a revival of the spirit of revolt."
P033,Hamilton,S02,"If such suppositions could even be reasonably made, still the concealment of the design, for any duration, would be impracticable. It would be announced, by the very circumstance of augmenting the army to so great an extent in time of profound peace. What colorable reason could be assigned, in a country so situated, for such vast augmentations of the military force? It is impossible that the people could be long deceived; and the destruction of the project, and of the projectors, would quickly follow the discovery. It has been said that the provision which limits the appropriation of money for the support of an army to the period of two years would be unavailing, because the Executive, when once possessed of a force large enough to awe the people into submission, would find resources in that very force sufficient to enable him to dispense with supplies from the acts of the legislature. But the question again recurs, upon what pretense could he be put in possession of a force of that magnitude in time of peace?"
P034,Madison,S07,"The more I revolve the subject, the more fully I am persuaded that the balance is much more likely to be disturbed by the preponderancy of the last than of the first scale. We have seen, in all the examples of ancient and modern confederacies, the strongest tendency continually betraying itself in the members, to despoil the general government of its authorities, with a very ineffectual capacity in the latter to defend itself against the encroachments. Although, in most of these examples, the system has been so dissimilar from that under consideration as greatly to weaken any inference concerning the latter from the fate of the former, yet, as the States will retain, under the proposed Constitution, a very extensive portion of active sovereignty, the inference ought not to be wholly disregarded. In the Achaean league it is probable that the federal head had a degree and species of power, which gave it a considerable likeness to the government framed by the convention. The Lycian Confederacy, as far as its principles and form are transmitted, must have borne a still greater analogy to it."
P035,Madison,S04,"Resuming the subject of the last paper, I proceed to inquire whether the federal government or the State governments will have the advantage with regard to the predilection and support of the people. Notwithstanding the different modes in which they are appointed, we must consider both of them as substantially dependent on the great body of the citizens of the United States. I assume this position here as it respects the first, reserving the proofs for another place. The federal and State governments are in fact but different agents and trustees of the people, constituted with different powers, and designed for different purposes. The adversaries of the Constitution seem to have lost sight of the people altogether in their reasonings on this subject; and to have viewed these different establishments, not only as mutual rivals and enemies, but as uncontrolled by any common superior in their efforts to usurp the authorities of each other. These gentlemen must here be reminded of their error."
P036,Hamilton,S03,"The obstacles to usurpation and the facilities of resistance increase with the increased extent of the state, provided the citizens understand their rights and are disposed to defend them. The natural strength of the people in a large community, in proportion to the artificial strength of the government, is greater than in a small, and of course more competent to a struggle with the attempts of the government to establish a tyranny. But in a confederacy the people, without exaggeration, may be said to be entirely the masters of their own fate. Power being almost always the rival of power, the general government will at all times stand ready to check the usurpations of the state governments, and these will have the same disposition towards the general government. The people, by throwing themselves into either scale, will infallibly make it preponderate. If their rights are invaded by either, they can make use of the other as the instrument of redress. How wise will it be in them by cherishing the union to preserve to themselves an advantage which can never be too highly prized!"
P037,Madison,S01,"But if the government be national with regard to the operation of its powers, it changes its aspect again when we contemplate it in relation to the extent of its powers. The idea of a national government involves in it, not only an authority over the individual citizens, but an indefinite supremacy over all persons and things, so far as they are objects of lawful government. Among a people consolidated into one nation, this supremacy is completely vested in the national legislature. Among communities united for particular purposes, it is vested partly in the general and partly in the municipal legislatures. In the former case, all local authorities are subordinate to the supreme; and may be controlled, directed, or abolished by it at pleasure. In the latter, the local or municipal authorities form distinct and independent portions of the supremacy, no more subject, within their respective spheres, to the general authority, than the general authority is subject to them, within its own sphere."
P038,Hamilton,S11,"Shall the Union be constituted the guardian of the common safety? Are fleets and armies and revenues necessary to this purpose? The government of the Union must be empowered to pass all laws, and to make all regulations which have relation to them. The same must be the case in respect to commerce, and to every other matter to which its jurisdiction is permitted to extend. Is the administration of justice between the citizens of the same State the proper department of the local governments? These must possess all the authorities which are connected with this object, and with every other that may be allotted to their particular cognizance and direction. Not to confer in each case a degree of power commensurate to the end, would be to violate the most obvious rules of prudence and propriety, and improvidently to trust the great interests of the nation to hands which are disabled from managing them with vigor and success."
P039,Hamilton,S03,"That there may happen cases in which the national government may be necessitated to resort to force, cannot be denied. Our own experience has corroborated the lessons taught by the examples of other nations; that emergencies of this sort will sometimes arise in all societies, however constituted; that seditions and insurrections are, unhappily, maladies as inseparable from the body politic as tumors and eruptions from the natural body; that the idea of governing at all times by the simple force of law, which we have been told is the only admissible principle of republican government, has no place but in the reveries of those political doctors whose sagacity disdains the admonitions of experimental instruction. Should such emergencies at any time happen under the national government, there could be no remedy but force. The means to be employed must be proportioned to the extent of the mischief. If it should be a slight commotion in a small part of a State, the militia of the residue would be adequate to its suppression; and the natural presumption is that they would be ready to do their duty."
P041,Madison,S14,"A patient who finds his disorder daily growing worse, and that an efficacious remedy can no longer be delayed without extreme danger, after coolly revolving his situation, and the characters of different physicians, selects and calls in such of them as he judges most capable of administering relief, and best entitled to his confidence. The physicians attend; the case of the patient is carefully examined; a consultation is held; they are unanimously agreed that the symptoms are critical, but that the case, with proper and timely relief, is so far from being desperate, that it may be made to issue in an improvement of his constitution. They are equally unanimous in prescribing the remedy, by which this happy effect is to be produced. The prescription is no sooner made known, however, than a number of persons interpose, and, without denying the reality or danger of the disorder, assure the patient that the prescription will be poison to his constitution, and forbid him, under pain of certain death, to make use of it."
P042,Hamilton,S18,"Impositions of this kind usually fall under the denomination of indirect taxes, and must for a long time constitute the chief part of the revenue raised in this country. Those of the direct kind, which principally relate to land and buildings, may admit of a rule of apportionment. Either the value of land, or the number of the people, may serve as a standard. The state of agriculture and the populousness of a country have been considered as nearly connected with each other. And, as a rule, for the purpose intended, numbers, in the view of simplicity and certainty, are entitled to a preference. In every country it is a herculean task to obtain a valuation of the land; in a country imperfectly settled and progressive in improvement, the difficulties are increased almost to impracticability. The expense of an accurate valuation is, in all situations, a formidable objection. In a branch of taxation where no limits to the discretion of the government are to be found in the nature of things, the establishment of a fixed rule, not incompatible with the end, may be attended with fewer inconveniences than to leave that discretion altogether at large."
P043,Hamilton,S17,"One thing, at all events, must be evident, that a government like the one proposed would bid much fairer to avoid the necessity of using force, than that species of league contended for by most of its opponents; the authority of which should only operate upon the States in their political or collective capacities. It has been shown that in such a Confederacy there can be no sanction for the laws but force; that frequent delinquencies in the members are the natural offspring of the very frame of the government; and that as often as these happen, they can only be redressed, if at all, by war and violence. The plan reported by the convention, by extending the authority of the federal head to the individual citizens of the several States, will enable the government to employ the ordinary magistracy of each, in the execution of its laws. It is easy to perceive that this will tend to destroy, in the common apprehension, all distinction between the sources from which they might proceed; and will give the federal government the same advantage for securing a due obedience to its authority which is enjoyed by the government of each State."
P044,Madison,S12,"The express authority of the people alone could give due validity to the Constitution. To have required the unanimous ratification of the thirteen States, would have subjected the essential interests of the whole to the caprice or corruption of a single member. It would have marked a want of foresight in the convention, which our own experience would have rendered inexcusable. Two questions of a very delicate nature present themselves on this occasion: On what principle the Confederation, which stands in the solemn form of a compact among the States, can be superseded without the unanimous consent of the parties to it? What relation is to subsist between the nine or more States ratifying the Constitution, and the remaining few who do not become parties to it? The first question is answered at once by recurring to the absolute necessity of the case; to the great principle of self-preservation; to the transcendent law of nature and of nature's God, which declares that the safety and happiness of society are the objects at which all political institutions aim, and to which all such institutions must be sacrificed."
P048,Hamilton,S18,"There is no method of steering clear of this inconvenience, but by authorizing the national government to raise its own revenues in its own way. Imposts, excises, and, in general, all duties upon articles of consumption, may be compared to a fluid, which will, in time, find its level with the means of paying them. The amount to be contributed by each citizen will in a degree be at his own option, and can be regulated by an attention to his resources. The rich may be extravagant, the poor can be frugal; and private oppression may always be avoided by a judicious selection of objects proper for such impositions. If inequalities should arise in some States from duties on particular objects, these will, in all probability, be counterbalanced by proportional inequalities in other States, from the duties on other objects. In the course of time and things, an equilibrium, as far as it is attainable in so complicated a subject, will be established everywhere."
P049,Hamilton,S02,"It was a thing hardly to be expected that in a popular revolution the minds of men should stop at that happy mean which marks the salutary boundary between power and privilege, and combines the energy of government with the security of private rights. A failure in this delicate and important point is the great source of the inconveniences we experience, and if we are not cautious to avoid a repetition of the error, in our future attempts to rectify and ameliorate our system, we may travel from one chimerical project to another; we may try change after change; but we shall never be likely to make any material change for the better. The idea of restraining the legislative authority, in the means of providing for the national defense, is one of those refinements which owe their origin to a zeal for liberty more ardent than enlightened. We have seen, however, that it has not had thus far an extensive prevalency; that even in this country, where it made its first appearance, Pennsylvania and North Carolina are the only two States by which it has been in any degree patronized."
P050,Madison,S19,"The Constitution proposed by the convention may be considered under two general points of view. The first relates to the sum or quantity of power which it vests in the government, including the restraints imposed on the States. The second, to the particular structure of the government, and the distribution of this power among its several branches. Under the first view of the subject, two important questions arise: Whether any part of the powers transferred to the general government be unnecessary or improper? Whether the entire mass of them be dangerous to the portion of jurisdiction left in the several States? Is the aggregate power of the general government greater than ought to have been vested in it? It cannot have escaped those who have attended with candor to the arguments employed against the extensive powers of the government, that the authors of them have very little considered how far these powers were necessary means of attaining a necessary end."
P052,Hamilton,S20,"The present Confederation, feeble as it is intended to repose in the United States, an unlimited power of providing for the pecuniary wants of the Union. But proceeding upon an erroneous principle, it has been done in such a manner as entirely to have frustrated the intention. Congress, by the articles which compose that compact, are authorized to ascertain and call for any sums of money necessary, in their judgment, to the service of the United States; and their requisitions, if conformable to the rule of apportionment, are in every constitutional sense obligatory upon the States. These have no right to question the propriety of the demand; no discretion beyond that of devising the ways and means of furnishing the sums demanded. But though this be strictly and truly the case; though the assumption of such a right would be an infringement of the articles of Union; though it may seldom or never have been avowedly claimed, yet in practice it has been constantly exercised, and would continue to be so, as long as the revenues of the Confederacy should remain dependent on the intermediate agency of its members."
P053,Hamilton,S20,"It has been already observed that the federal government ought to possess the power of providing for the support of the national forces; in which proposition was intended to be included the expense of raising troops, of building and equipping fleets, and all other expenses in any wise connected with military arrangements and operations. But these are not the only objects to which the jurisdiction of the Union, in respect to revenue, must necessarily be empowered to extend. It must embrace a provision for the support of the national civil list; for the payment of the national debts contracted, or that may be contracted; and, in general, for all those matters which will call for disbursements out of the national treasury. The conclusion is, that there must be interwoven, in the frame of the government, a general power of taxation, in one shape or another. Money is, with propriety, considered as the vital principle of the body politic; as that which sustains its life and motion, and enables it to perform its most essential functions."
